Midpart,Height
72.75,73.2
66.75,
66.75,66.5
71.0,70.5
70.25,70.5
68.0,68.0
69.0,
69.0,69.2
69.0,68.7
67.5,67.0
67.5,67.0
68.0,67.5
67.0,
67.0,67.5
69.0,69.0
68.5,69.0
68.5,68.5
68.25,68.5
68.25,67.7
68.0,68.0
68.0,68.0
67.5,68.0
67.5,68.0
67.5,67.5
67.5,68.0
67.5,68.0
67.5,68.0
67.1,67.5
67.25,67.0
66.5,
66.5,66.0
69.5,70.0
69.5,69.0
69.5,69.0
69.5,70.0
68.5,69.0
67.75,68.0
67.5,67.0
67.5,67.0
67.5,67.0
67.0,67.0
67.0,67.0
67.0,66.7
66.85,67.0
66.75,67.0
66.5,67.0
66.5,66.5
65.0,64.5
65.0,65.0
65.0,65.0
65.0,65.0
64.25,64.5
67.85,68.5
67.5,68.0
68.0,67.5
67.75,67.5
67.0,67.0
66.6,66.5
66.0,66.0
66.25,66.0
65.5,66.0
65.5,66.0
67.5,68.0
67.5,68.0
67.5,68.0
66.5,66.0
66.75,66.5
66.5,66.0
66.0,66.0
66.0,65.5
66.0,66.0
66.0,66.0
66.0,66.0
65.5,66.0
65.5,66.0
65.5,66.0
66.0,65.5
65.5,66.0
65.5,65.5
65.5,65.0
65.5,66.0
65.85,65.5
64.5,64.0
64.0,64.0
63.5,64.0
63.5,64.0
63.5,63.0
66.0,65.5
65.25,65.5
66.5,67.0
66.5,66.0
66.5,66.0
66.5,67.0
66.0,66.0
66.0,66.5
66.0,65.5
66.0,66.0
65.75,66.0
64.75,64.5
64.75,65.0
64.75,65.0
64.75,65.0
62.5,63.0
62.5,62.0
66.0,66.5
66.0,66.0
66.0,66.0
65.0,65.0
65.0,65.0
65.25,65.5
65.0,64.5
64.5,64.0
64.5,64.0
64.0,64.0
64.0,64.0
64.0,64.0
64.0,64.0
